artist,genre,festivals
Chronixx And The Zincfence Redemption,World,[u'Governors Ball']
Circa Survive,Rock,[u'Coachella']
Circa Waves,Indie,[u'Lollapalooza']
Citizen Cope,Rock,[u'Firefly']
Clare Dunn,Country,"[u'Stagecoach', u'Kicker Country Stampede']"
Clark,Indie,[u'Pitchfork']
Classixx,EDM,[u'Outside Lands']
Claude VonStroke,EDM,"[u'Coachella', u'Electric Forest']"
Clawhammer,Indie,[u'Middle of the Map']
Clean Bandit,EDM,"[u'Coachella', u'Governors Ball', u'Firefly']"
Client Liaison,EDM,[u'Firefly']
Cloud Nothings,Indie,[u'Coachella']
Coasts,Indie,"[u'Coachella', u'Lollapalooza']"
Coheed & Cambria,Rock,"[u'Rock in Rio USA - Rock Weekend', u'Summerfest']"
Coin,Indie,[u'Lollapalooza']
Cold War Kids,Indie,"[u'SweetWater 420', u'Hangout', u'Firefly', u'Forecastle', u'Lollapalooza']"
Cole Swindell,Country,[u'CMA Fest']
Collie Buddz,Reggae,[u'Wakarusa']
Colony House,Rock,"[u'Hangout', u'Firefly']"
Colt Ford,Hip-hop,[u'Tortuga']
Common,Hip-hop,[u'Essence']
Con Brio,R&B,[u'Free Press Summer Festival']
Connor Leimer,Rock,[u'Middle of the Map']
Conor Oberst,Indie,[u'Governors Ball']
Conrad Herwig's Latin Side of Horace Silver ft. Michel Camilo,Jazz,[u'Newport Jazz']
Conspirator,EDM,[u'Wakarusa']
Copeland,Indie,[u'SunFest']
Cosmic Gate,EDM,[u'Spring Awakening']
County Road 5,Rock,[u'Kicker Country Stampede']
Courtney Barnett,Indie,"[u'Sasquatch!', u'Bonnaroo', u'Pitchfork', u'Newport Folk']"
Cowboy Mouth,Rock,[u'New Orleans Jazz & Heritage Fes']
Coyote Bill Boogie Band,Rock,[u'Middle of the Map']
Coyote Union,Rock,[u'Wakarusa']
Craig Morgan,Country,[u'Kicker Country Stampede']
Craig Stensaas,Country,[u'Kicker Country Stampede']
Creole String Beans,Americana,[u'New Orleans Jazz & Heritage Fes']
Crizzly,EDM,[u'Electric Forest']
Crobot,Rock,"[u'Rock on the Range', u'Rocklahoma']"
Cure for the Common,Rock,[u'Wakarusa']
Cypher Clique,Hip-hop,[u'Firefly']
D'Angelo and The Vanguard,R&B,[u'Outside Lands']
D.V.S*,EDM,[u'Lightning in a Bottle']
D/Will & Barrel Maker,Hip-hop,[u'Middle of the Map']
DESTRUCTO,EDM,"[u'Wakarusa', u'Lollapalooza']"
DIIV,Rock,[u'Governors Ball']
DJ Brooks Brown,EDM,[u'Middle of the Map']
DJ Craze,EDM,[u'Firefly']
DJ Fredster,EDM,[u'Free Press Summer Festival']
DJ Harvey,EDM,[u'Coachella']
DJ Mustard,EDM,"[u'Firefly', u'Lollapalooza', u'Outside Lands']"
DJ Sliink,EDM,[u'Spring Awakening']
DJ Snake,EDM,"[u'Coachella', u'Lollapalooza']"
DJ Timmy Tutone,EDM,[u'Middle of the Map']
DJ Vibe,EDM,[u'Rock in Rio USA - Pop Weekend']
DMA's,Indie,"[u'Governors Ball', u'Bonnaroo', u'Lollapalooza', u'Outside Lands']"
Dada Life,EDM,[u'Spring Awakening']
Dallas Smith,Country,[u'Kicker Country Stampede']
"Damian ""Jr. Gong"" Marley",Reggae,"[u'SunFest', u'Hangout']"
Damon Bailey,Pop,[u'Middle of the Map']
Dan + Shay,Country,[u'Summerfest']
Dan Deacon,EDM,[u'Outside Lands']
Dan Mangan + Blacksmith,Indie,[u'Sasquatch!']
Dance Spirit,EDM,[u'Lightning in a Bottle']
Dangerkids,Rock,[u'Rock on the Range']
Daniel In Stereo,Indie,[u'Bunbury']
Daniel Romano,Country,[u'Stagecoach']
Danny Howells,EDM,[u'Lightning in a Bottle']
Danny Tenaglia,EDM,[u'Coachella']
Danny Weinkauf,Rock,[u'Lollapalooza']
Darius Rucker,Country,[u'CMA Fest']
Dark Star Orchestra,Rock,[u'Summerfest']
Datsik,EDM,[u'Electric Forest']
Davell Crawford,Jazz,[u'New Orleans Jazz & Heritage Fes']
David Fanning,Country,[u'Stagecoach']
David George & A Crooked Mile,Rock,[u'Middle of the Map']
David Guetta,EDM,[u'Coachella']
David Nail,Country,[u'Tortuga']
Dawes,Indie,[u'Bonnaroo']
Daye Jack,Hip-hop,[u'Lollapalooza']
Dead Metal Society,Metal,[u'Rocklahoma']
Deadmau5,EDM,"[u'Governors Ball', u'Bonnaroo']"
Deap Vally,Rock,[u'Hangout']
Death From Above 1979,Rock,"[u'Governors Ball', u'Lollapalooza']"
Dee 1,Hip-hop,[u'Essence']
Deep Cuts,Indie,[u'Free Press Summer Festival']
Deftones,Metal,[u'Rock in Rio USA - Rock Weekend']
Dej Loaf,Hip-hop,[u'Bonnaroo']
Delbert McClinton,Americana,[u'New Orleans Jazz & Heritage Fes']
Della Mae,Bluegrass,[u'Stagecoach']
Dellacoma,Rock,[u'Rocklahoma']
Delta Rae,Americana,[u'SweetWater 420']
Delta Rose,Rock,[u'Rocklahoma']
Delta Spirit,Indie,"[u'Summerfest', u'Electric Forest', u'Lollapalooza']"
Deorro,EDM,[u'Coachella']
Desaparecidos,Indie,"[u'Coachella', u'Forecastle']"
Devon Baldwin,Pop,[u'Outside Lands']
Diamond Lane,Rock,[u'Rocklahoma']
Diarrhea Planet,Indie,"[u'Sasquatch!', u'Free Press Summer Festival', u'Forecastle']"
Dierks Bentley,Country,"[u'Stagecoach', u'CMA Fest']"
Dilated Peoples,Hip-hop,"[u'Sasquatch!', u'Wakarusa']"
Dillinger Escape Plan,Metal,[u'Rock on the Range']
Dillon Francis,EDM,"[u'Counterpoint', u'Lollapalooza']"
Diplo,EDM,[u'Spring Awakening']
Dirtfoot,Rock,[u'Wakarusa']
Dirty Dozen Brass Band,Jazz,[u'Summerfest']
Dirty Heads,Reggae,"[u'Hangout', u'Wakarusa', u'Firefly', u'Summerfest']"
Dirty South,EDM,[u'Coachella']
Dizzy Wright,Hip-hop,[u'Firefly']
Django Django,Indie,"[u'Lollapalooza', u'Outside Lands']"
Djao,EDM,[u'Sasquatch!']
Doc Martin,Indie,[u'Coachella']
Donald Harrison Jr.,Jazz,[u'New Orleans Jazz & Heritage Fes']
Donavon Frankenreiter,Pop,[u'Wakarusa']
Dopapod,Rock,"[u'Wakarusa', u'Bonnaroo', u'Electric Forest']"
Dorothy,Rock,[u'Rock on the Range']
Doug E. Fresh,Hip-hop,[u'Essence']
Dpat,EDM,[u'Free Press Summer Festival']
Dr. John,Americana,[u'Newport Jazz']
Dr. John: Off Da Hook!,Jazz,[u'New Orleans Jazz & Heritage Fes']
Drake,Hip-hop,"[u'Coachella', u'Governors Ball']"
Drake White and the Big Fire,Country,[u'Tortuga']
Dreamers,Rock,[u'SunFest']
Drek,Rock,[u'Rocklahoma']
Drive Like Jehu,Rock,[u'Coachella']
Drive-By Truckers,Rock,[u'Hangout']
Dubfire,EDM,[u'Coachella']
Duke Dumont,EDM,"[u'Coachella', u'Spring Awakening']"
Duncan Burnett,Hip-hop,[u'Middle of the Map']
Dusky,EDM,[u'Spring Awakening']
Dustin Thomas,World,[u'Wakarusa']
Dusty Rust,Country,[u'Middle of the Map']
Dylan Scott,Country,[u'Tortuga']
EOTO,EDM,"[u'Wakarusa', u'Electric Forest']"
Eagle and Hawk,Rock,[u'New Orleans Jazz & Heritage Fes']
Eagulls,Indie,[u'Coachella']
Earphunk,Rock,[u'Counterpoint']
Earth Wind & Fire,R&B,[u'Bonnaroo']
Eats Everything,EDM,[u'Spring Awakening']
Ebony Tusks,Hip-hop,[u'Middle of the Map']
Echosmith,Indie,"[u'Rock in Rio USA - Pop Weekend', u'Governors Ball', u'Firefly']"
Ed Rush & Optical,EDM,[u'Electric Forest']
Ed Sheeran,Pop,"[u'New Orleans Jazz & Heritage Fes', u'Rock in Rio USA - Pop Weekend', u'Summerfest']"
Eddie Money,Rock,[u'SunFest']
Edward Sharpe & The Magnetic Zeros,Rock,"[u'SunFest', u'Summerfest', u'Electric Forest']"
El-Rey-Tones,Indie,[u'Middle of the Map']
Electron,Rock,[u'Electric Forest']
Eli Young Band,Country,[u'Stagecoach']
Elizabeth Lyons,Country,[u'Kicker Country Stampede']
Elle King,Americana,"[u'Hangout', u'Lollapalooza']"
Elle Varner,R&B,[u'Essence']
Ellie Herring,EDM,[u'Lightning in a Bottle']
Elliot Root,Indie,"[u'SunFest', u'Hangout']"
Elliphant,Hip-hop,[u'Firefly']
Ellis Marsalis,Jazz,[u'New Orleans Jazz & Heritage Fes']
Elton John,Rock,"[u'New Orleans Jazz & Heritage Fes', u'Outside Lands']"
Elvin Bishop,Rock,[u'Summerfest']
Emancipator Ensemble,EDM,[u'Counterpoint']
Emily's D+Evolution,R&B,[u'Essence']
Empire of the Sun,EDM,"[u'Rock in Rio USA - Pop Weekend', u'Firefly']"
Empires,Indie,[u'Forecastle']
Eric Burdon and the Animals,Rock,[u'Stagecoach']
Eric Church,Country,[u'CMA Fest']
Eric Prydz,EDM,[u'Spring Awakening']
Eric Roberson,R&B,[u'Essence']
Erol Alkan,EDM,[u'Coachella']
Erykah Badu,R&B,[u'Essence']
Esperanza Spalding,Jazz,[u'Essence']
Estelle,R&B,[u'New Orleans Jazz & Heritage Fes']
Eva Shaw,EDM,[u'Spring Awakening']
Even The Dogs,Metal,[u'Rocklahoma']
Everyman,EDM,[u'Lightning in a Bottle']
Everyone Orchestra,Rock,[u'Electric Forest']
Ex Hex,Indie,"[u'Sasquatch!', u'Pitchfork']"
Excision,EDM,[u'Spring Awakening']
Exmag,EDM,[u'Electric Forest']
Exodus,Metal,[u'Welcome to Rockville']
FKA twigs,Pop,"[u'Coachella', u'Lollapalooza']"
FKJ,EDM,[u'Lightning in a Bottle']
FORGOTTEN SPACE,Rock,[u'Wakarusa']
